Title,Description,Links,Publication Date 
Эмир Катара прибыл в Россию,"Эмир Катара Тамим бен Хамад Аль Тани прибыл в Москву с официальным визитом, передает агентство ТАСС. 17 апреля у него состоятся переговоры с президентом России Владимиром Путиным.",https://www.kommersant.ru/doc/7659678,"Thu, 17 Apr 2025 12:12:49 +0300"
Bloomberg: Трамп считает экономически перспективным снятие санкций с России,"Президент США Дональд Трамп видит экономические перспективы в перезагрузке отношений с Россией, пишет агентство Bloomberg. В частности, этому будет способствовать ослабление санкционного давления на Москву.",https://www.kommersant.ru/doc/7659660,"Thu, 17 Apr 2025 12:12:23 +0300"
Токаев уволил посла Казахстана на Украине,Президент Казахстана Касым-Жомарт Токаев подписал указ об освобождении от должности посла республики на Украине Дархана Калетаева. Об этом в четверг сообщили в пресс-службе главы государства.,https://www.kommersant.ru/doc/7659675,"Thu, 17 Apr 2025 12:11:31 +0300"
Минэнерго Украины: Киев и Вашингтон заинтересованы в совместном контроле над ЗАЭС,Украина и США имеют общий интерес в возвращении Запорожской АЭС (ЗАЭС) под контроль Украины. Об этом заявил глава Министерства энергетики Украины Герман Галущенко во время выступления на дискуссионной панели Атлантического совета (признан в РФ нежелательной организацией).,https://www.kommersant.ru/doc/7659668,"Thu, 17 Apr 2025 12:06:15 +0300"
"Минцифры до конца года запустит систему проверки сведений, указанных в резюме","Минцифры планирует в этом году реализовать систему проверки сведений о соискателе в резюме для работодателей. Об этом заявил глава министерства Максут Шадаев на форуме Data Fusion  «Мы считаем, что любой работодатель, естественно, с согласия кандидата-соискателя, должен иметь возможность проверить те данные, которые указаны в резюме.",https://www.kommersant.ru/doc/7659655,"Thu, 17 Apr 2025 12:04:07 +0300"
Скорость всех прокатных электросамокатов в России ограничили до 20 км/ч,"Все прокатные электросамокаты в России с 12:00 17 апреля не будут разгоняться быстрее 20 км/ч. Об этом сказано в совместном пресс-релизе (есть у «Ъ») кикшеринговых операторов -- Whoosh, «МТС Юрент» и «Яндекс Go».",https://www.kommersant.ru/doc/7659616,"Thu, 17 Apr 2025 12:00:14 +0300"
Бывшего главу МЧС Крыма Сергея Садаклиева осудили по делу о взятках,Киевский районный суд Симферополя приговорил к пяти с половиной годам колонии строгого режима бывшего главу МЧС Крыма Сергея Садаклиева. Его признали виновным в получении взятки (ст.,https://www.kommersant.ru/doc/7659659,"Thu, 17 Apr 2025 11:58:25 +0300"
Власти США угрожают Гарварду запретом принимать иностранных студентов,"Министерство внутренней безопасности США потребовало от Гарвардского университета подготовить подробные отчеты о «незаконных и насильственных действиях» иностранных студентов учебного заведения. Если университет не предоставит отчеты к 30 апреля, у него отнимут право на зачисление иностранных студентов.",https://www.kommersant.ru/doc/7659643,"Thu, 17 Apr 2025 11:50:11 +0300"
Патрушев возглавит общественный совет проекта ЕР по гражданской идентичности,"Помощник президента России Николай Патрушев возглавит общественный совет проекта «Единой России» (ЕР) по укреплению гражданской идентичности «Мир возможностей». Об этом руководство партии сообщило на открытии второго всероссийского форума «Битва за умы» сегодня, 17 апреля.",https://www.kommersant.ru/doc/7659625,"Thu, 17 Apr 2025 11:46:18 +0300"
Новым госсекретарем Союзного государства станет Глазьев,Новым госсекретарем Союзного государства станет Сергей Глазьев. Об этом решении лидеров Белоруссии и России сообщил президент Белоруссии Александр Лукашенко.,https://www.kommersant.ru/doc/7659647,"Thu, 17 Apr 2025 11:41:05 +0300"
Акционеры «Яндекса» утвердили дивиденды за 2024 год в размере 80 рублей на акцию,"По итогам 2024 года «Яндекс» (MOEX: YDEX) выплатит дивиденды в размере 80 руб. на акцию. Соответствующее решение утвердили на общем собрании акционеров 15 апреля, сообщается на портале раскрытия информации.",https://www.kommersant.ru/doc/7659639,"Thu, 17 Apr 2025 11:37:05 +0300"
За террористические преступления в России за год осудили 870 человек,"В 2024 году в России приговорили по террористическим статьям 870 человек, в том числе 48 несовершеннолетних. Об этом сообщает «РИА Новости» со ссылкой на данные судебного департамента при Верховном суде.",https://www.kommersant.ru/doc/7659631,"Thu, 17 Apr 2025 11:36:28 +0300"
Москалькова обсудила с омбудсменом Киргизии задержание мигрантов в бане в Москве,Омбудсмен Киргизии Джамиля Джаманбаева и уполномоченный по правам человека в России Татьяна Москалькова обсудили ситуацию с задержанием киргизских граждан в московском банном комплексе «Бодрость» 10 апреля. Об этом сообщает «РИА Новости» со ссылкой на пресс-службу киргизского омбудсмена.,https://www.kommersant.ru/doc/7659637,"Thu, 17 Apr 2025 11:31:43 +0300"
Чехия впервые в истории стала полностью независимой от поставок российской нефти,"Чехия впервые в своей истории стала полностью независимой от поставок российской нефти. Об этом сегодня, 17 апреля, заявили премьер-министр Чехии Петр Фиала и министр финансов Збынек Станюра во время посещения нефтехранилища Нелагозевес в Чешской Республике.",https://www.kommersant.ru/doc/7659635,"Thu, 17 Apr 2025 11:31:09 +0300"
Генпрокуратура РФ подала иск к немецкой компании Wintershall Dea,"Генпрокуратура подала иск в Арбитражный суд Москвы в отношении экс-партнера «Газпрома», немецкой нефтегазовой корпорации Wintershall Dea. В иск в качестве ответчиков также включены юридическое бюро Aurelius Cotta и три международных арбитра — Шарль Понсе, Хамид Гарави и Олуфунке Адекоя.",https://www.kommersant.ru/doc/7659630,"Thu, 17 Apr 2025 11:29:27 +0300"
ФСБ задержала вывозившего драгоценные металлы контрабандиста,"В Смоленской области задержали россиянина при попытке вывезти за границу радиоэлектронный лом, содержащий драгоценные металлы. Против него возбудили уголовное дело о покушении на контрабанду стратегически важных товаров и ресурсов (ч.",https://www.kommersant.ru/doc/7659629,"Thu, 17 Apr 2025 11:26:06 +0300"
Песок с мазутом вывезут с площадки временного хранения в Анапе до конца мая,"Собранный с пляжей Краснодарского края мазут вывезут с площадки временного накопления в хуторе Воскресенском (Анапа) до конца мая, сообщил региональный оперативный штаб. Ранее власти региона обещали вывести загрязненный грунт до 1 апреля, а площадку закрыть.",https://www.kommersant.ru/doc/7659611,"Thu, 17 Apr 2025 11:09:34 +0300"
Украинский дрон сбит вблизи Запорожской АЭС,"Вблизи Запорожской АЭС был нейтрализован украинский беспилотник, сообщила пресс-служба станции. По ее данным, это произошло за 300 м от корпуса «Г», где распложен полномасштабный тренажер реакторного зала.",https://www.kommersant.ru/doc/7659604,"Thu, 17 Apr 2025 11:07:58 +0300"
Хоккейные свитера Ивана Демидова проданы на сумму более $250 тыс.,"Хоккейные свитера российского форварда «Монреаль Канадиенс» Ивана Демидова, дебютировавшего в Национальной хоккейной лиге (НХЛ), распроданы на рекордную сумму более $250 тыс. Об этом сообщил основатель магазина хоккейной одежды Hockey Jerseyz Питер Альпер на своей странице в социальной сети Х.",https://www.kommersant.ru/doc/7659598,"Thu, 17 Apr 2025 10:59:35 +0300"
FT узнала детали возвращения Ariston в Россию,"Итальянские высокопоставленные чиновники настойчиво требовали отменить передачу активов Ariston под временное управление структуре «Газпрома», сообщил Financial Times (FT) со ссылкой на источники. Переговоры по этому поводу вели три стороны: МИД Италии, посольство в Москве, а также неизвестный итальянец, чья должность и имя не уточняются.",https://www.kommersant.ru/doc/7659594,"Thu, 17 Apr 2025 10:56:38 +0300"
Додик не боится санкций ЕС из-за визита в Москву 9 Мая,"Президент входящей в состав Боснии и Герцеговины Республики Сербской Милорад Додик назвал большой честью приглашение Владимира Путина на празднование 80-летия Победы. Он заявил, что не боится европейских санкций из-за визита в Москву.",https://www.kommersant.ru/doc/7659586,"Thu, 17 Apr 2025 10:54:36 +0300"
Россельхознадзор рассчитывает победить борщевик в 2025 году,Для борьбы с борщевиком Сосновского Россельхознадзор будет использовать новое средство биологической защиты. Оно способно подавить устойчивость сорняка.,https://www.kommersant.ru/doc/7659595,"Thu, 17 Apr 2025 10:53:47 +0300"
ЦБ: средний срок ипотеки в России приблизился к рекордным 26 годам,"Средний срок ипотеки к февралю 2025 года достиг максимума в 25 лет и 10 месяцев (309,8 месяца), свидетельствуют данные Банка России. Увеличение составило сразу четыре месяца по сравнению с январем.",https://www.kommersant.ru/doc/7659573,"Thu, 17 Apr 2025 10:51:01 +0300"
Глава МИД Британии обсудит с Рубио и Уиткоффом прекращение конфликта на Украине,Глава МИД Великобритании Дэвид Лэмми в четверг примет в Париже участие в переговорах о прекращении украинского конфликта. Об этом сообщает The Telegraph со ссылкой на источники.,https://www.kommersant.ru/doc/7659577,"Thu, 17 Apr 2025 10:40:37 +0300"
Определились все участники play-off НХЛ,Стали известны все участники play-off Национальной хоккейной лиги (НХЛ). Розыгрыш Кубка Стэнли начнется 19 апреля.,https://www.kommersant.ru/doc/7659571,"Thu, 17 Apr 2025 10:37:29 +0300"
Путин назначил секретаря Союзного государства полпредом в Конституционном суде,Президент Владимир Путин назначил своим полномочным представителем в Конституционном суде Дмитрия Мезенцева. Соответствующий указ опубликован на интернет-портале правовой информации.,https://www.kommersant.ru/doc/7659569,"Thu, 17 Apr 2025 10:35:38 +0300"
"Правительство выделило регионам России 1,2 млрд рублей на проекты КРТ","Правительство направит более 1,2 млрд руб. на реализацию проектов комплексного развития территорий (КРТ) в пяти регионах. Соответствующее распоряжение подписал премьер-министр Михаил Мишустин.",https://www.kommersant.ru/doc/7659557,"Thu, 17 Apr 2025 10:30:51 +0300"
РЖД не обещает появления устойчивого интернета во всех поездах,"Устойчивый интернет в первую очередь будет развернут на самых напряженных пассажирских маршрутах, заявил замглавы РЖД Евгений Чаркин. По его словам, говорить о появлении интернета на всех железнодорожных направлениях пока рано.",https://www.kommersant.ru/doc/7659541,"Thu, 17 Apr 2025 10:24:27 +0300"
FT: западные компании рассматривают возможность остаться на российском рынка,"Иностранные компании, ранее планировавшие уйти из России, теперь рассматривают возможность остаться, сообщает Financial Times (FT) со ссылкой на источники. По данным издания, зарубежный бизнес демонстрирует «умеренный интерес» к продолжению работы в РФ.",https://www.kommersant.ru/doc/7659548,"Thu, 17 Apr 2025 10:22:43 +0300"
"«Честный знак» заблокировал продажу более 1,2 млн нелегальных шин","Система маркировки «Честный знак» с начала проверки на кассах магазинов заблокировала свыше 1,2 млн шин. Мониторинг нелегального оборота этой продукции запущен с 1 ноября 2024 года.",https://www.kommersant.ru/doc/7659540,"Thu, 17 Apr 2025 10:12:05 +0300"
«Яндекс Карты»: водители стали чаще строить маршруты через платные дороги,"«Яндекс Карты» представили результаты исследования (есть у «Ъ»), как часто и где водители пользуются платными дорогами. За прошедший год (с апреля 2024-го по апрель 2025 года) 35% пользователей «Яндекс Карт» построили 470 млн маршрутов по «платникам» (или их участкам), что на 56 млн, или 13%, больше, чем за аналогичный период прошлого года  Регионы, где чаще всего пользуются платными дорогами (процент маршрутов, проложенных через платные дороги):  Новгородская область — 27%,   Воронежская область — 24%,  Тверская область — 23%,  Липецкая область — 22%,   Владимирская область — 20%.",https://www.kommersant.ru/doc/7659531,"Thu, 17 Apr 2025 10:00:32 +0300"
В Шуе Ивановской области отбита атака беспилотников,"Ночью с 16 на 17 апреля город Шуя Ивановской области подвергся атаке БПЛА. Она была отбита, пострадавших нет.",https://www.kommersant.ru/doc/7659520,"Thu, 17 Apr 2025 09:45:50 +0300"
Российский аналог препарата от ожирения от «Герофарм» поступит в продажу в мае,"Фармацевтическая компания «Герофарм» получила регистрационное удостоверение на препарат «Седжаро», аналог американского лекарства от ожирения «Мунджаро». Препарат поступит в гражданский оборот в мае текущего года, сказано в пресс-релизе компании (есть у «Ъ»).",https://www.kommersant.ru/doc/7659510,"Thu, 17 Apr 2025 09:39:00 +0300"
Фармацевты выступили против продажи лекарств в отделениях «Почты России»,"Законопроект, которым Минцифры предложило «Почте России» продавать безрецептурные лекарственные препараты, вызвал негативные отклики у фармацевтических компаний. Российская ассоциация аптечных сетей (РААС) написала отрицательный отзыв на законопроект, сообщает Forbes.",https://www.kommersant.ru/doc/7659498,"Thu, 17 Apr 2025 09:24:37 +0300"
«Эксперт РА» описало сценарии мягкой посадки и шока в российской экономике,"К весне 2025 года экономика России оказалась в точке перегиба — происходит ее целенаправленное торможение, но угрозы бюджетной стабильности нет. Об этом сказано в прогнозе управляющего директора по макроэкономическому анализу «Эксперт РА» Антона Табаха.",https://www.kommersant.ru/doc/7659505,"Thu, 17 Apr 2025 09:21:28 +0300"
Ученые нашли веские доказательства существования жизни на далекой экзопланете,"Команда ученых из Кембриджского университета обнаружила доказательства внеземной жизни. По их словам, она содержится в органических соединениях в атмосфере экзопланеты K2-18b.",https://www.kommersant.ru/doc/7659502,"Thu, 17 Apr 2025 09:16:53 +0300"
Минпромторг сократит список товаров для параллельного импорта в РФ,"Минпромторг собирается урезать перечень товаров, которые можно ввозить в Россию по параллельному импорту. Подготовку документа ведомство подтвердило «Известиям».",https://www.kommersant.ru/doc/7659490,"Thu, 17 Apr 2025 09:15:41 +0300"
SuperJob: россияне теряют интерес к поездкам на работу на самокатах,"Согласно опросу SuperJob, за год в Москве и Санкт-Петербурге уменьшилось число желающих ездить на работу на велосипедах и самокатах. В Москве число тех, кто хотел бы добираться так до работы, сократилось на 4 п. п. в годовом выражении, в Петербурге — на 6 п. п. 3% москвичей и 4% петербуржцев ездят на работу на велосипеде.",https://www.kommersant.ru/doc/7659489,"Thu, 17 Apr 2025 09:12:07 +0300"
АЛРОСА: спрос на бриллианты можно повысить за счет видового маркетинга,"Необходимо развивать видовой маркетинг натуральных бриллиантов для роста спроса на них, заявил начальник управления международного сотрудничества АЛРОСА (MOEX: ALRS) Петр Каракчиев. Он убежден, что санкции, «безусловно, важная проблема» для отрасли, но не самая главная.",https://www.kommersant.ru/doc/7659475,"Thu, 17 Apr 2025 08:48:49 +0300"
Володин пообещал взять на контроль нарушения на экзаменах для мигрантов,"Рособрнадзор проверил вузы, ответственные за проведение экзаменов по русскому языку и истории России для мигрантов. По итогам были выявлены нарушения.",https://www.kommersant.ru/doc/7659469,"Thu, 17 Apr 2025 08:40:01 +0300"
NYT: Трамп не допустил удары Израиля по ядерным объектам Ирана,"Израиль собирался атаковать иранские ядерные объекты в мае 2025 года, однако президент США Дональд Трамп отклонил эти планы. Он выступил за переговоры с Тегераном об ограничении его ядерной программы, сообщает The New York Times (NYT) со ссылкой на источники.",https://www.kommersant.ru/doc/7659466,"Thu, 17 Apr 2025 08:36:43 +0300"
Открытие винного города «Белый мыс» в Геленджике перенесли на конец года,"Первый в мире винный город «Белый мыс», который строится в Геленджике, решено открывать не по частям, а целиком, сообщил руководитель проекта ресторатор Дмитрий Левицкий. По его словам, сроки открытия города сдвинули на конец 2025 года.",https://www.kommersant.ru/doc/7659464,"Thu, 17 Apr 2025 08:22:34 +0300"
Япония пожаловалась на ограничение Россией прохода судов у Южных Курил,"Япония заявила протест России из-за временной приостановки права на проход иностранных судов в районе Южных Курил, сообщил генсек японского правительства Ёсимаса Хаяси. По его словам, российские власти ввели ограничения со вчерашнего утра, 16 апреля, и до 1 мая.",https://www.kommersant.ru/doc/7659455,"Thu, 17 Apr 2025 08:11:24 +0300"
Мошенники используют для взлома «Госуслуг» функцию демонстрации экрана,Мошенники начали взламывать аккаунты на портале «Госуслуги» под предлогом помощи с использованием функции демонстрации экрана на смартфоне. Об этом рассказали ТАСС в управлении по организации борьбы с противоправным использованием информационно-коммуникационных технологий МВД.,https://www.kommersant.ru/doc/7659437,"Thu, 17 Apr 2025 07:57:40 +0300"
Армия Великобритании испытала радиоволновое оружие для борьбы с БПЛА,"Великобритания испытала новое оружие направленной энергии (ОНЭ), которое было разработано Минобороны королевства вместе с промышленной группой Thales UK, выпускающей электронику для военного и авиакосмического применения. Во время испытаний с помощью оружия было отслежено и уничтожено более 100 беспилотников, сообщили в Минобороны Великобритании.",https://www.kommersant.ru/doc/7659451,"Thu, 17 Apr 2025 07:55:04 +0300"
За ночь сбили 71 БПЛА над шестью российскими регионами,"В течение ночи средства ПВО перехватили над Курской областью 49 БПЛА, сообщило Минобороны. По его данным, по семь беспилотников сбито над Орловской и Рязанской областями, четыре — над Брянской, три — над Владимирской, еще один дрон — над Тульской областью.",https://www.kommersant.ru/doc/7659439,"Thu, 17 Apr 2025 07:38:02 +0300"
Рынок подержанных авто сократился на 11% в марте,"Продажи автомобилей с пробегом в России в марте упали на 10,7% в годовом сравнении, составив 448,3 тыс. единиц. При этом по сравнению с февралем рынок вырос на 12,9%, подсчитали в «Автостате».",https://www.kommersant.ru/doc/7659344,"Thu, 17 Apr 2025 07:15:47 +0300"
Главные новости к утру 17 апреля,"Экспорт российского угля по итогам первого квартала превысил прошлогодний уровень, но оказался на 15% ниже показателя докризисного 2023 года. Поддержку отгрузкам оказывают поставки в Китай по ранее заключенным долгосрочным контрактам, но уже в апреле ожидается снижение экспорта в этом направлении.",https://www.kommersant.ru/doc/7659429,"Thu, 17 Apr 2025 07:00:09 +0300"
Авачинская губа на Камчатке окрасилась в багровый цвет,"Воды Авачинской губы у Петропавловска-Камчатского окрасились в багрово-малиновый цвет. Так называемый красный прилив вызван весенним цветением морской инфузории, сообщили в Камчатском филиале Тихоокеанского института географии ДВО РАН.",https://www.kommersant.ru/doc/7659430,"Thu, 17 Apr 2025 06:50:04 +0300"
В России упали продажи боярышника,"В январе-феврале 2025 года россияне купили 10 млн флаконов спиртовых настоек, что на 11,3% меньше, чем годом ранее, выяснила DSM Group. Снижение может быть связано в том числе с сокращением производства пищевого спирта — его выпуск в первом квартале упал на 12%, до 12,94 млн дал.",https://www.kommersant.ru/doc/7659339,"Thu, 17 Apr 2025 06:36:11 +0300"
ЕАО войдет в программу развития газоснабжения и газификации «Газпрома»,"Еврейская автономная область с 2025 года входит в программу газификации ПАО «Газпром» (MOEX: GAZP), рассчитанную на 2024–2032 годы, сообщила врио губернатора региона Мария Костюк. По поручению президента РФ Владимира Путина газификация включена в мастер-план развития Биробиджана.",https://www.kommersant.ru/doc/7659419,"Thu, 17 Apr 2025 06:24:55 +0300"
В России создали уникальный препарат от онкологических заболеваний,"Препарат от онкологических заболеваний «Афтотид» создали в России, он не имеет аналогов в мире. Его безопасность доказана судом.",https://www.kommersant.ru/doc/7659416,"Thu, 17 Apr 2025 06:14:59 +0300"
Президент Финляндии призвал Россию согласиться на прекращение огня,"Президент Финляндии Александр Стубб на своей странице в соцсети X сообщил, что поговорил с президентом Украины Владимиром Зеленским. В публикации господин Стубб призвал Россию согласиться на полное и безоговорочное прекращение огня.",https://www.kommersant.ru/doc/7659415,"Thu, 17 Apr 2025 05:57:13 +0300"
В Приморье контрабандисты вывезли в Южную Корею более 320 тонн краба,"Две компании из Владивостока занижали таможенную стоимость экспортируемых в Южную Корею, Японию и КНР морепродуктов. Размер неуплаченных таможенных платежей составил 9,75 млн руб., сообщила сегодня, 17 апреля, Дальневосточная транспортная прокуратура.",https://www.kommersant.ru/doc/7659414,"Thu, 17 Apr 2025 05:39:08 +0300"
Исполнители теракта в «Крокусе» познакомились за несколько дней до нападения,"Исполнители теракта в подмосковном «Крокус Сити Холле» познакомились друг с другом за несколько дней до нападения на концертный зал, сообщил «РИА Новости» адвокат одного из обвиняемых Далерджона Мирзоева. Все нападавшие приехали из разных мест, до этого группу координировали через мессенджер Telegram.",https://www.kommersant.ru/doc/7659413,"Thu, 17 Apr 2025 05:33:13 +0300"
СРЗП внесет в Госдуму законопроект о возвращении прямых выборов мэров,"Депутаты Госдумы от партии «Справедливая Россия – За правду» (СРЗП) внесут в четверг в палату парламента законопроекты, согласно которым планируется вернуть избрание глав муниципалитетов через голосование. С документом ознакомилось «РИА Новости».",https://www.kommersant.ru/doc/7659410,"Thu, 17 Apr 2025 05:06:56 +0300"
Глава ФРС предупредил о рисках для экономики США из-за тарифов Трампа,"Глава Федеральной резервной системы (ФРС) Джером Пауэлл заявил, что регулятор сохранит ставки без изменений до получения новых данных, но предупредил о негативном влиянии тарифов Дональда Трампа на инфляцию и занятость. Выступая 16 апреля в Экономическом клубе Чикаго, он отметил, что меры президента могут отдалить экономику от целевых показателей регулятора.",https://www.kommersant.ru/doc/7659409,"Thu, 17 Apr 2025 04:52:10 +0300"
"Власти США аннулировали два гранта на $2,7 млн Гарвардскому университету","Министерство внутренней безопасности США аннулировало два гранта для Гарвардского университета на общую сумму более $2,7 млн. Об этом говорится в документе, распространенном ведомством, его текст приводит агентство Reuters.",https://www.kommersant.ru/doc/7659407,"Thu, 17 Apr 2025 04:46:03 +0300"
СМИ: Великобритания не станет жертвовать связями с Китаем ради США,"Британская газета inews со ссылкой на высокопоставленный источник в правительстве сообщила, что Великобритания в рамках торговых переговоров с США не станет жертвовать экономическими связями с Китаем. После введения тарифов президентом Дональдом Трампом, Великобритания стала одной из десятков стран, стремящихся к отмене пошлин на экспорт через переговоры.",https://www.kommersant.ru/doc/7659406,"Thu, 17 Apr 2025 04:29:28 +0300"
Reuters: ЕС отказался от запрета на импорт газа из России,"Агентство Reuters со ссылкой на источники среди представителей Евросоюза сообщило, что ЕС отказался от запрета на импорт сжиженного природного газа (СПГ) из России из-за торговых пошлин президента США Дональда Трампа. Как сообщили собеседники издания, вместо этого Еврокомиссия хочет разработать новую дорожную карту, которая позволит к 2027 году положить конец зависимости блока от российских энергоносителей.",https://www.kommersant.ru/doc/7659405,"Thu, 17 Apr 2025 03:57:48 +0300"
Илон Маск о решении суда о трансгендерах: у Британии еще есть надежда,"Миллиардер Илон Маск одобрил решение Верховного суда Великобритании о невозможности использования термина «женщина» применительно к трансгендерной женщине. Комментируя новость в соцсети Х, он написал: «Может быть, у Британии еще есть надежда».",https://www.kommersant.ru/doc/7659404,"Thu, 17 Apr 2025 03:35:02 +0300"
ТАСС: следователи работали по экс-губернатору Курской области несколько месяцев,"Следственные действия в отношении экс-губернатора Курской области Алексея Смирнова, арестованного по обвинению в мошенничестве, велись несколько месяцев, сообщает ТАСС со ссылкой на источник в правоохранительных органах. По словам собеседника агентства, вина бывшего губернатора подтверждается как материалами дела, так и показаниями свидетелей.",https://www.kommersant.ru/doc/7659403,"Thu, 17 Apr 2025 03:16:41 +0300"
Следствие просит продлить арест экс-замглавы Минобороны РФ Тимура Иванова,Следователи просят Мосгорсуд продлить арест экс-заместителя министра обороны Тимура Иванова еще на три месяца в рамках расследования уголовного дела о получении особо крупной взятки. Об этом сообщил ТАСС со ссылкой на источник в правоохранительных органах.,https://www.kommersant.ru/doc/7659402,"Thu, 17 Apr 2025 02:52:05 +0300"
NYT: администрация Трампа может лишить американцев доступа к DeepSeek,"Газета The New York Times (NYT) со ссылкой на источники сообщила, что администрация президента США Дональда Трампа рассматривает возможную блокировку китайской нейросети DeepSeek, а также ограничение поддержки Китая от американского производителя чипов Nvidia. Как сообщают собеседники издания, власти США обдумывают введение штрафов, которые помешают DeepSeek покупать американские технологии.",https://www.kommersant.ru/doc/7659401,"Thu, 17 Apr 2025 02:36:19 +0300"
NBC: Мишель Трахтенберг умерла от осложнений диабета,"Американская актриса Мишель Трахтенберг, известная по сериалу «Сплетница», умерла от осложнений диабета. Об этом сообщило NBC News со ссылкой на офис судебно-медицинской экспертизы Нью-Йорка.",https://www.kommersant.ru/doc/7659400,"Thu, 17 Apr 2025 02:17:42 +0300"
Глава РФПИ Дмитриев: возможность полета на Марс становится все более реальной,"Глава Российского фонда прямых инвестиций (РФПИ) Кирилл Дмитриев считает, что возможность полета на Марс становится «все более реальной». Он заявил об этом в соцсети Х после того, как президент РФ Владимир Путин сравнил главу SpaceX Илона Маска с конструктором Сергеем Королевым.",https://www.kommersant.ru/doc/7659399,"Thu, 17 Apr 2025 01:45:57 +0300"
МИД РФ: задержанных в бане иностранцев подозревают в связях с радикалами // МИД России прокомментировал задержание граждан Киргизии в московской бане,"В МИД России назвали плановым рейд силовиков на баню «Бодрость» в Тимирязевском районе Москвы, где задержали более полусотни иностранных граждан. Большая часть них была из Киргизии.",https://www.kommersant.ru/doc/7659398,"Thu, 17 Apr 2025 01:21:18 +0300"
Россияне установили 10 млн самозапретов на кредиты с начала марта,"Россияне установили 10 млн самозапретов на кредиты с начала запуска сервиса 1 марта. Активнее всего сервисом пользовались жители Москвы и области, а также Санкт-Петербурга и Ростовской области.",https://www.kommersant.ru/doc/7659386,"Thu, 17 Apr 2025 00:45:12 +0300"
Жан-Клод Ван Дамм заявил о желании приехать в РФ как «посол мира»,"Американо-бельгийский актер Жан-Клод Ван Дамм записал обращение к президенту России Владимиру Путину, в котором рассказал о желании приехать в РФ и стать «послом мира». В кадре вместе с ним находится украинский предприниматель и экс-депутат Александр Онищенко.",https://www.kommersant.ru/doc/7659372,"Thu, 17 Apr 2025 00:31:34 +0300"
Мужчину ранило взрывным устройством после атаки БПЛА на Белгородскую область,"В селе Борки Валуйского округа Белгородской области при выполнении боевых задач ранен боец отряда «Орлан», сообщил губернатор региона Вячеслав Гладков в своем Telegram-канале. Причиной стал БПЛА, сбросивший взрывное устройство на территорию села.",https://www.kommersant.ru/doc/7659364,"Thu, 17 Apr 2025 00:06:22 +0300"
